publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2021-08-05,qz66ZrN1PDc,"UBC - una bella compania, das größte Projekt der WAHRHAFTIGEN Menschen - Bist du wahrhaftig?",0,0,0,0,0,0,0
2021-08-05,CURvx1oAlf4,"Was ist Spiritualität, was wird damit bewirkt, wie viele Strukturanteile hat der Mensch?",0,0,0,0,0,0,0
2021-08-05,cEtPN7fGwJk,Wo ist die Seele verankert?,0,0,0,0,0,0,0
2021-08-05,KdkFbHJEkVc,Der Seelenplan-Glück und Unglück sind kein Zufall!,0,0,0,0,0,0,0
2021-08-05,XgHwfwy_kmw,"UPDATE, Die neusten Erkenntnisse über die Seele",0,0,0,0,0,0,0
2021-08-05,vZmfqOQfHhQ,"Was ist die Seele, kurz und knapp",0,0,0,0,0,0,0
2021-08-05,xZSHkpzzIpU,Was ist die Seele? Neue Erkenntnisse,0,0,0,0,0,0,0
2021-08-05,eyqqzLrKl2w,Was ist in Chiang Mai wirklich los und warum betrifft das jeden Menschen?!,0,0,0,0,0,0,0
2021-08-05,ncRovDXyMPo,Was bedeutet das? - Frei von Besetzungen und Fremdsteuerungen,0,0,0,0,0,0,0
2021-08-05,APwAQxY202U,Der Erkenntnisweg - Der Weg direkt am Abgrund!?,0,0,0,0,0,0,0
2021-03-02,eOl8C2elDNw,Der Weg der Selbsterkenntnis - beobachte dich selbst!,0,0,0,0,0,0,0
2021-03-02,MCsaKIU3x-0,Was ist Angst und warum ist sie da??!,0,0,0,0,0,0,0
2021-02-28,2H0UhEXy_X8,"Es geht um alles, um jeden einzelnen von uns!",0,0,0,0,0,0,0
2021-02-28,LYETq_rQ30E,"Der Gott in der Maschine - ein ""Erfahrungsbericht""",0,0,0,0,0,0,0
2021-02-27,ouS_1uOhZDY,Öffne deine Augen - Impulse für die eigene Entwicklung,0,0,0,0,0,0,0
2021-02-27,VUW07nX7kGY,"Welchen Wolf ""fütterst"" du? - Anunnaki Teil 3",0,0,0,0,0,0,0
2021-02-14,CGO5xhZfm98,Spiel des Lebens - wo soll es enden?!! - 3 Tage Finsternis?,0,0,0,0,0,0,0
2021-02-14,_jgwExjUchY,verstrickter Betrug an der Menschheit - in allen Bereichen,0,0,0,0,0,0,0
2021-02-14,vjfIny5w_9o,Warum hat der heutige Mensch kein Wissen?,0,0,0,0,0,0,0
2021-01-27,IiPMS8oZrhE,Life After Life,0,0,0,0,0,0,0
2021-01-27,l3TqmlwdudM,Wo ist dein WILLE? Finde die Wahrheit solange du noch kannst,0,0,0,0,0,0,0
2019-06-23,wiBQ-H1-L1U,"In Wahrhaftigkeit ist ""Emotion"" keine Emotion, sondern Wahrheit!",0,0,0,0,0,0,0
2019-05-21,dqvng34SPSk,Illusionen der Matrix,0,0,0,0,0,0,0
2019-05-21,EwaLDpM1EmM,Transhumanismus - menschliche Roboter sind unter uns,0,0,0,0,0,0,0
2019-05-21,8aARKiPnURY,"Wille, handeln - Wissen",0,0,0,0,0,0,0
2019-05-19,tIzDEqKNqZI,Verführerische Höflichkeit - warum?,0,0,0,0,0,0,0
2019-05-19,AyXRZBZQo6k,Anunnaki Teil 2 - Was von der Öffentlichkeit verborgen bleiben soll,0,0,0,0,0,0,0
2019-05-19,AJpOJFstB50,Anunnaki Teil 1 - Was von der Öffentlichkeit verborgen bleiben soll,0,0,0,0,0,0,0
2019-05-19,j2huB5un_RM,Wie aus Göttern Affen wurden - Das Buch,0,0,0,0,0,0,0
2019-05-19,o0DCPOgpwcU,Thomas sein Buch - Wie aus Göttern Affen wurden,0,0,0,0,0,0,0
2019-05-19,ztLPe4bsYBo,UBC - una bella compania,0,0,0,0,0,0,0
2019-05-19,KqbWRs6DKaw,Das Strukturierte Prinzip der Liebe - was jeder Mensch leben sollte,0,0,0,0,0,0,0
